data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-17 06:25:00,2026-04-17 06:25:00,LONG,1.176,1.170616117665376,1499.679842823164,-8.07409981336725,395.63089085499524,STOP_LOSS,90,0.0035892548897493363
2026-04-17 07:55:00,2026-04-17 08:20:00,LONG,1.172,1.1808708359135345,1486.635136798378,13.187696361833396,408.81858721682863,TAKE_PROFIT,70,0.003548334365413801
2026-04-17 09:50:00,2026-04-17 10:15:00,LONG,1.191,1.2012829665982119,1325.2290679355804,13.627286240560952,422.4458734573896,TAKE_PROFIT,100,0.004113186639284682
2026-04-17 13:05:00,2026-04-17 14:20:00,LONG,1.206,1.200550911100058,1550.5192930946482,-8.448917469147792,413.99695598824184,STOP_LOSS,75,0.0036327259332946038
2026-04-17 15:55:00,2026-04-17 17:30:00,LONG,1.195,1.1909251454435272,2031.9594245670219,-8.279939119764837,405.717016868477,STOP_LOSS,55,0.002716569704315179
2026-04-17 17:55:00,2026-04-17 18:35:00,LONG,1.195,1.1912644398339778,2172.1883671358187,-8.11434033736954,397.6026765311075,STOP_LOSS,75,0.0024903734440148073
2026-04-18 02:45:00,2026-04-18 03:35:00,LONG,1.185,1.1868532513808854,1724.9343836606283,3.196737028455634,400.7994135595631,STOP_LOSS,70,0.0030733743095573487
2026-04-18 07:35:00,2026-04-18 07:50:00,LONG,1.199,1.1883824285522588,754.9738008023085,-8.015988271191262,392.78342528837186,STOP_LOSS,55,0.007078380965160805
2026-04-19 09:55:00,2026-04-19 09:55:00,LONG,1.117,1.1130590456370064,1993.3416584403726,-7.855668505767437,384.92775678260443,STOP_LOSS,120,0.002627302908662331
2026-04-19 11:35:00,2026-04-19 11:35:00,LONG,1.117,1.113055127475295,1951.5345774646025,-7.6985551356520885,377.22920164695233,STOP_LOSS,55,0.0026299150164700467
2026-04-19 11:40:00,2026-04-19 12:15:00,LONG,1.121,1.116781110478589,1788.2867030885707,-7.544584032939047,369.6846176140133,STOP_LOSS,75,0.0028125930142740407
2026-04-20 00:30:00,2026-04-20 01:00:00,LONG,1.103,1.0999687513472465,2439.1573240169646,-7.393692352280267,362.29092526173304,STOP_LOSS,100,0.0020208324351689705
2026-04-20 01:30:00,2026-04-20 01:40:00,LONG,1.103,1.099820738625381,2279.088647155746,-7.245818505234661,355.0451067564984,STOP_LOSS,75,0.0021195075830792998
2026-04-20 06:20:00,2026-04-20 07:15:00,LONG,1.103,1.109991293993306,1692.7963411658009,11.83483689188303,366.8799436483814,TAKE_PROFIT,75,0.0027965175973224485
2026-04-20 09:10:00,2026-04-20 09:20:00,LONG,1.103,1.1084434314076999,2246.621760981075,12.22933145494638,379.1092751033278,TAKE_PROFIT,75,0.002177372563079916
2026-04-20 10:55:00,2026-04-20 11:10:00,LONG,1.108,1.1039904372977192,1891.02554693889,-7.582185502066555,371.5270896012612,STOP_LOSS,100,0.0026730418015206148
2026-04-20 12:20:00,2026-04-20 12:50:00,LONG,1.107,1.1008992567955993,1217.9732113073223,-7.430541792025223,364.096547809236,STOP_LOSS,60,0.0040671621362671
2026-04-20 14:05:00,2026-04-20 14:05:00,LONG,1.105,1.1019185357962513,2363.139882438389,-7.281930956184719,356.81461685305123,STOP_LOSS,70,0.0020543094691657165
2026-04-20 15:00:00,2026-04-20 15:15:00,LONG,1.108,1.114396000545471,1859.5715364957139,11.89382056176865,368.70843741481985,TAKE_PROFIT,80,0.0025584002181882563
2026-04-20 16:55:00,2026-04-20 17:20:00,LONG,1.11,1.1143366989030428,2834.0176530441777,12.290281247160243,380.9987186619801,TAKE_PROFIT,95,0.001734679561217099
2026-04-20 18:35:00,2026-04-20 19:15:00,LONG,1.12,1.1159417582394238,1877.6541228429503,-7.619974373239602,373.3787442887405,STOP_LOSS,75,0.0027054945070509213
